Cooling Rate,Temperature, Wirelength
0.95,823125,2256
0.95,617344,2453
0.95,463008,2501
0.95,347256,2526
0.95,260442,2535
0.95,195331,2568
0.95,146499,2653
0.95,109874,2724
0.95,82405.4,2729
0.95,61804.1,2745
0.95,46353.1,2776
0.95,34764.8,2785
0.95,26073.6,2841
0.95,19555.2,2869
0.95,14666.4,2892
0.95,10999.8,2914
0.95,8249.85,2928
0.95,6187.39,2978
0.95,4640.54,2989
0.95,3480.41,3042
0.95,2610.3,3054
0.95,1957.73,3085
0.95,1468.3,3094
0.95,1101.22,3175
0.95,825.916,3227
0.95,619.437,3258
0.95,464.578,3332
0.95,348.434,3444
0.95,261.325,3449
0.95,195.994,3451
0.95,146.995,3468
0.95,110.247,3470
0.95,82.6849,3473
0.95,62.0137,3527
0.95,46.5103,3610
0.95,34.8827,3640
0.95,26.162,3686
0.95,19.6215,3690
0.95,14.7161,3698
0.95,11.0371,3703
0.95,8.27783,3722
0.95,6.20837,3725
0.95,4.65628,3729
0.95,3.49221,3860
0.95,2.61916,3857
0.95,1.96437,3870
0.95,1.47328,3870
0.95,1.10496,3913
0.95,0.828717,3926
0.95,0.621538,3875
0.95,0.466154,3899
0.95,0.349615,3931
0.95,0.262211,3928
0.95,0.196659,3932
0.95,0.147494,3983
0.95,0.11062,4004
0.95,0.0829653,4043
0.95,0.062224,4106
0.95,0.046668,4157
0.95,0.035001,4193
0.95,0.0262507,4229
0.95,0.0196881,4250
0.95,0.014766,4245
0.95,0.0110745,4285
0.95,0.0083059,4301
0.95,0.00622942,4316
0.95,0.00467207,4352
0.95,0.00350405,4365
0.95,0.00262804,4447
0.95,0.00197103,4477
0.95,0.00147827,4499
0.95,0.0011087,4496
0.95,0.000831528,4508
0.95,0.000623646,4505
0.95,0.000467734,4546
0.95,0.000350801,4562
0.95,0.000263101,4556
0.95,0.000197325,4620
0.95,0.000147994,4721
0.95,0.000110996,4764
0.95,8.32467e-05,4753
0.95,6.2435e-05,4779
0.95,4.68263e-05,4850
0.95,3.51197e-05,4829
0.95,2.63398e-05,4866
0.95,1.1666e+06,4864
0.95,1.10827e+06,4911
0.95,1.05286e+06,4928
0.95,1.00021e+06,5025
0.95,950203,5049
0.95,902693,5091
0.95,857558,5077
0.95,814680,5102
0.95,773946,5105
0.95,735249,5123
0.95,698487,5129
0.95,663562,5135
0.95,630384,5153
0.95,598865,5157
0.95,568922,5203
0.95,540476,5200
0.95,513452,5202
0.95,487779,5202
0.95,463390,5174
0.95,440221,5165
0.95,418210,5172
0.95,397299,5174
0.95,377434,5215
0.95,358563,5239
0.95,340634,5255
0.95,323603,5288
0.95,307423,5288
0.95,292051,5266
0.95,277449,5308
0.95,263576,5320
0.95,250398,5368
0.95,237878,5395
0.95,225984,5395
0.95,214685,5412
0.95,203950,5400
0.95,193753,5412
0.95,184065,5412
0.95,174862,5455
0.95,166119,5456
0.95,157813,5465
0.95,149922,5471
0.95,142426,5481
0.95,135305,5529
0.95,128540,5521
0.95,122113,5515
0.95,116007,5534
0.95,110207,5541
0.95,104696,5567
0.95,99461.5,5559
0.95,94488.4,5568
0.95,89764,5602
