Temperature,Wirelength
3.22952e+06,6811
3.06805e+06,6792
2.91465e+06,6784
2.76891e+06,6801
2.63047e+06,6801
2.49894e+06,6799
2.374e+06,6801
2.2553e+06,6818
2.14253e+06,6794
2.03541e+06,6809
1.93364e+06,6774
1.83695e+06,6802
1.74511e+06,6772
1.65785e+06,6759
1.57496e+06,6723
1.49621e+06,6714
1.4214e+06,6706
1.35033e+06,6707
1.28281e+06,6712
1.21867e+06,6732
1.15774e+06,6738
1.09985e+06,6748
1.04486e+06,6723
992617,6719
942986,6720
895837,6724
851045,6706
808492,6712
768068,6717
729664,6719
693181,6717
658522,6725
625596,6734
594316,6737
564600,6746
536370,6751
509552,6749
484074,6763
459871,6779
436877,6772
415033,6789
394282,6799
374567,6809
355839,6804
338047,6784
321145,6768
305088,6746
289833,6762
275342,6766
261574,6771
248496,6781
236071,6770
224267,6774
213054,6766
202401,6757
192281,6767
182667,6759
173534,6770
164857,6774
156614,6753
148784,6798
141344,6792
134277,6788
127563,6826
121185,6836
115126,6806
109370,6802
103901,6817
98706.1,6832
93770.8,6802
89082.2,6785
84628.1,6772
80396.7,6747
76376.9,6758
72558,6753
68930.1,6781
65483.6,6782
62209.4,6780
59099,6858
56144,6870
53336.8,6885
50670,6880
48136.5,6879
45729.7,6868
43443.2,6874
41271,6865
39207.5,6862
37247.1,6868
35384.7,6855
33615.5,6854
31934.7,6892
30338,6894
28821.1,6892
27380,6897
26011,6894
24710.5,6910
23475,6899
22301.2,6862
21186.1,6864
20126.8,6856
19120.5,6862
18164.5,6867
17256.2,6858
16393.4,6853
15573.8,6825
14795.1,6815
14055.3,6817
13352.6,6827
12684.9,6810
12050.7,6816
11448.1,6827
10875.7,6820
10332,6828
9815.36,6819
9324.59,6810
8858.36,6826
8415.44,6827
7994.67,6824
7594.94,6822
7215.19,6801
6854.43,6798
6511.71,6775
6186.12,6752
5876.82,6709
5582.98,6692
5303.83,6706
5038.64,6716
4786.7,6710
4547.37,6717
4320,6692
4104,6693
3898.8,6689
3703.86,6681
3518.67,6679
3342.73,6662
3175.6,6674
3016.82,6676
2865.98,6673
2722.68,6674
2586.54,6672
2457.22,6664
2334.36,6666
2217.64,6677
2106.76,6683
2001.42,6680
1901.35,6660
1806.28,6653
1715.97,6638
1630.17,6639
1548.66,6620
1471.23,6628
1397.66,6622
1327.78,6628
1261.39,6632
1198.32,6662
1138.41,6669
1081.49,6668
1027.41,6663
976.042,6655
927.239,6664
880.877,6649
836.834,6652
794.992,6649
755.242,6644
717.48,6643
681.606,6647
647.526,6649
615.15,6649
584.392,6698
555.172,6715
527.414,6705
501.043,6726
